month,date,rank,candidate,designation,year_or_period,tradition,source_witnesses,source_tier,preliminary_status,ranking_rationale,review_flags,decision_status,final_primary,notes
January,01-01,1,The Holy Name of Our Lord Jesus Christ,Feast of Our Lord,,Anglican / Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Major feast of Christ and Prayer Book/LFF authority; uncontested primary candidate.,none,Pending,,
January,01-01,2,Fulgentius of Ruspe,Bishop and theologian,533,Greater Church / North African,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church reference,Usable,North African episcopal and anti-Arian theological witness but cannot displace Holy Name.,defer under Feast of Our Lord; Greater Church remembers,Pending,,
January,01-01,3,William of Volpiano,Abbot,1031,Greater Church / Western monastic,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church reference,Usable,Monastic reform witness but cannot displace Holy Name.,defer under Feast of Our Lord; Greater Church remembers,Pending,,
January,01-01,4,Zdislava of Lemberk,Lay worker of mercy,1252,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Lay mercy and care-for-poor witness; lower priority under Holy Name.,defer under Feast of Our Lord; Greater Church remembers,Pending,,
January,01-02,1,Vedanayagam Samuel Azariah,Bishop of Dornakal,1945,Anglican,HWHM; GCW,TEC secondary,Strong candidate,First Indian Anglican bishop and missionary/ecclesial leader; Anglican-bishop rule supports inclusion on a thin current-LFF day.,Anglican bishop rule; mission/postcolonial context review,Pending,,
January,01-02,2,Basil the Great and Gregory of Nazianzus,Bishops and Teachers of the Faith,"379, 389",Greater Church / Anglican-received,FAS; AM; Oxford Dictionary of Saints,Provincial Anglican / Anglican martyrology / Great Church,Strong alternate,Major Cappadocian fathers and teachers of the Trinity; very strong Great Church alternate below Anglican-bishop source form.,group entry; Greater Church remembers; date harmonization with future fixed dates,Pending,,
January,01-02,3,Seraphim of Sarov,Monastic and Confessor,1833,Eastern Orthodox / Anglican-received,SEC,Provincial Anglican,Strong alternate,Major Russian Orthodox monastic and spiritual witness; strong Great Church supplement.,Greater Church remembers; source/date verification,Pending,,
January,01-02,4,Macarius of Egypt,Monastic,394,Greater Church / Egyptian,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Desert monastic witness; lower priority than Azariah or Cappadocians.,Greater Church remembers; date harmonization with Jan 19 Macarius the Great,Pending,,Same identity question as Jan 19 Macarius the Great should be resolved in full-year harmonization.
January,01-03,1,Geneviève of Paris,Holy woman and protector of Paris,c. 500,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church reference,Strong candidate,Ancient prayerful and charitable witness; strongest holiness fit on a thin current-LFF/BCP day.,Greater Church remembers; source verification,Pending,,
January,01-03,2,William Passavant,Prophetic Witness,1894,Anglican-received Lutheran,HWHM; GCW,TEC secondary,Review,Important diaconal/institutional mercy witness but must be framed as holiness rather than social-institutional achievement.,Protestant/non-Anglican review; social-impact caution,Pending,,
January,01-03,3,Morris Williams,Nicander / Priest and poet,1874,Anglican / Welsh,AM,Anglican martyrology,Usable,Welsh priest and devotional/literary witness; lower source priority and needs verification.,source verification; poet holiness framing,Pending,,
January,01-04,1,Elizabeth Ann Seton,Vowed Religious and Educator,1821,Roman Catholic / Anglican-received,LFF; HWHM; GCW; AM,Current TEC/LFF / TEC secondary / Great Church,Strong candidate,Current LFF authority; vowed religious life and educational/works-of-mercy witness.,Greater Church remembers; modern-American Catholic context,Pending,,
January,01-04,2,Angela of Foligno,Franciscan tertiary and mystic,1309,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Penitential mystical witness and spiritual teaching; strong Great Church alternate.,Greater Church remembers; visionary material handling,Pending,,
January,01-05,1,"Sarah, Theodora, and Syncletica of Egypt",Desert Mothers,4th-5th century,Anglican-received Great Church,LFF; AM for Syncletica,Current TEC/LFF / Anglican martyrology,Strong candidate,Current LFF source form; women’s desert monastic holiness and ascetical teaching.,group entry; source-form verified,Pending,,Cross-sectional QC normalized current LFF comma/source form.
