month,date,rank,candidate,designation,year_or_period,tradition,source_witnesses,source_tier,preliminary_status,ranking_rationale,review_flags,decision_status,final_primary,notes
August,08-01,1,Joseph of Arimathea,Disciple of Jesus / burial witness,1st century,Biblical / Anglican-received,BCP; LFF; HWHM,BCP / Current TEC / TEC secondary,Strong candidate,BCP and current LFF authority; biblical disciple associated with care for the crucified body of Christ.,Glastonbury legends require restraint,Pending,,
August,08-01,2,Æthelwold of Winchester,Bishop and monastic reformer,984,Anglican / English,AM,Anglican martyrology,Strong alternate,English episcopal and Benedictine reform witness; strong Anglican-family alternative if Joseph is redistributed.,source/date verification,Pending,,
August,08-01,3,Alphonsus de Liguori,Bishop and Doctor,1787,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Strong Catholic pastoral and moral-theological witness; lower Anglican source priority than Joseph.,Greater Church remembers,Pending,,
August,08-01,4,Peter Julian Eymard,Priest and Eucharistic founder,1868,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church reference,Usable,Strong Eucharistic devotion and adoration witness; possible Catholic supplement.,Greater Church remembers,Pending,,
August,08-02,1,Samuel Ferguson,Missionary Bishop for West Africa,1916,Anglican,HWHM; GCW,TEC secondary,Strong candidate,Anglican bishop and missionary; best Anglican-source candidate on a thin BCP/LFF day.,source verification; modern mission framing,Pending,,QC added GCW witness after month-to-month comparison.
August,08-02,2,Eusebius of Vercelli,Bishop and anti-Arian confessor,371,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Monastic episcopal life and Nicene witness; strong Great Church fallback if Ferguson is not retained.,Greater Church remembers,Pending,,
August,08-03,1,"Joanna, Mary, and Salome",Myrrh-Bearing Women,1st century,Biblical / Anglican-received,LFF,Current TEC/LFF,Strong candidate,Current LFF; resurrection-adjacent women disciples and myrrh-bearing witness.,none,Pending,,
August,08-03,2,Stephen,Deacon and Martyr,1st century,Biblical / Anglican-received,FAS,Provincial Anglican,Strong alternate,FAS gives Stephen on August 3 or December 26; major biblical martyr but BCP/LFF already hold December 26.,date harmonization with December 26,Pending,,
August,08-03,3,"George Freeman Bragg, Jr.",Priest,1940,Anglican,HWHM,TEC secondary,Review,Anglican priest and Black Episcopal historian; possible holiness case but outranked by current LFF myrrh-bearers.,modern review; historical significance caution,Pending,,
August,08-03,4,W. E. B. Du Bois,Sociologist / public intellectual,1963,Anglican-received / public figure,HWHM,TEC secondary,Weak / defer,Important public intellectual but the case appears primarily social and historical rather than sanctoral.,holiness-not-significance caution,Pending,,
August,08-03,5,Lydia of Thyatira,Biblical convert and host,1st century,Biblical / Greater Church,AM,Anglican martyrology / Great Church,Usable,Biblical lay and house-church witness; date/source weaker than LFF myrrh-bearing women.,date harmonization,Pending,,
August,08-04,1,Anthony of Sourozh,Bishop and spiritual teacher,2003,Eastern Orthodox / Greater Church,AM,Anglican martyrology / Great Church,Usable with review,Strong Orthodox spiritual teacher and ecumenical presence in Britain; best candidate on a thin Anglican day.,modern review; Greater Church remembers,Pending,,
August,08-04,2,John Vianney,Priest and confessor,1859,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Strong parish-priest holiness and confessional/pastoral asceticism; lower Anglican fit than Anthony in Britain.,Greater Church remembers,Pending,,
August,08-05,1,Oswald of Northumbria,King and Martyr,642,Anglican / Northumbrian,SEC; AM,Provincial Anglican / Anglican martyrology,Strong candidate,Scottish Episcopal calendar and Anglican martyrology; royal martyr and Northumbrian Christian witness connected with Iona and Aidan.,ruler-saint review,Pending,,
August,08-05,2,Addai and Mari,Apostolic missionaries to Mesopotamia,2nd century tradition,Church of the East / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,Excellent Great Five / Church of the East supplementation candidate; thin Anglican day apart from Oswald.,tradition/source verification; Greater Church remembers,Pending,,
August,08-05,3,"Albrecht Dürer, Matthias Grünewald, and Lucas Cranach the Elder",Artists,"1528, 1529, 1553",Anglican-received / Western artists,HWHM; GCW,TEC secondary,Review,Christian art witness; source authority is high but holiness/prayability case is less direct than Oswald.,artist holiness test; group entry; source hierarchy versus holiness fit,Pending,,QC retained below Oswald because holiness fit outranks mere official-source presence.
August,08-06,1,The Transfiguration of Our Lord Jesus Christ,Feast of Our Lord,,Anglican / Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Major feast of Christ with overwhelming Anglican and Great Church reception; uncontested.,none,Pending,,
August,08-06,2,Justus and Pastor,Martyrs,304,Greater Church / Western,AM,Anglican martyrology / Great Church,Weak / defer,Child martyrs noted in AM but cannot displace the Transfiguration.,defer under major feast,Pending,,
August,08-06,3,Hiroshima atomic bombing,Historical event,1945,Non-sanctoral event,AM,Anglican martyrology event note,Exclude from primary consideration,Important historical remembrance but not a saint or ecclesial feast for Kalendar v0.1.,genre mismatch; non-sanctoral,Pending,,
August,08-07,1,John Mason Neale,Priest and Hymnographer,1866,Anglican,BCP; LFF; HWHM; GCW; FAS; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Strong Anglican priestly liturgical hymnographic and religious-community witness.,none,Pending,,
August,08-07,2,Catherine Winkworth,Poet and hymn translator,1878,Anglican-received,HWHM; GCW; AM,TEC secondary / Anglican martyrology,Usable,Major hymnody and translation witness; strong alternate but lower hierarchy than BCP/LFF Neale.,artist/poet holiness framing,Pending,,
August,08-07,3,Sixtus II and Companions,Bishop of Rome and martyrs,258,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Strong martyrial witness but lower Anglican source priority than Neale.,Greater Church remembers,Pending,,
August,08-07,4,Boisil of Melrose,Prior / monastic,642,Anglican / Scottish,AM,Anglican martyrology,Weak / defer,Strong monastic figure but already ranked for July 7 in the working matrix.,date harmonization,Pending,,
August,08-08,1,Dominic,Priest and Friar,1221,Anglican-received Roman Catholic,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Broad Anglican reception; strong preaching study poverty and contemplative-apostolic witness.,none,Pending,,
August,08-08,2,Mary MacKillop,Religious founder and worker of mercy,1909,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,Strong Australian Catholic holiness and educational/poor-care witness but lower Anglican source priority than Dominic.,Greater Church remembers,Pending,,
August,08-08,3,Altman of Passau,Bishop and reformer,1091,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Episcopal reform and monastic renewal witness; lower priority than Dominic.,Greater Church remembers,Pending,,
August,08-09,1,Edith Stein (Teresa Benedicta of the Cross),Philosopher / Monastic / Martyr,1942,Anglican-received Roman Catholic,LFF; AM,Current TEC/LFF / Great Church,Strong candidate,Current LFF; martyrial monastic philosophical and Jewish-Christian witness under Nazism.,modern martyr review; Jewish-Christian framing,Pending,,
August,08-09,2,Herman of Alaska,Missionary to the Aleut,1837,Eastern Orthodox / Anglican-received,HWHM; GCW; AM,TEC secondary / Great Church,Strong alternate,Strong Orthodox missionary ascetic and protector of Indigenous people; good Great Five option but outranked by current LFF Edith Stein.,Greater Church remembers; date/source note,Pending,,
August,08-09,3,Felim,Irish saint,c. 560,Anglican / Irish,AM,Anglican martyrology,Weak / defer,Irish local witness but thin evidence and weaker source priority than Edith Stein or Herman.,source verification,Pending,,
August,08-10,1,Laurence of Rome,Deacon and Martyr,258,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Classic deacon-martyr; charity to the poor and martyrial witness; broad Anglican and Great Church reception.,none,Pending,,
August,08-10,2,Blane,Missionary / Bishop,c. 590,Anglican / Scottish,SEC; AM,Provincial Anglican / Anglican martyrology,Strong alternate,Good Scottish missionary-bishop option but lower hierarchy than Laurence.,source/date verification,Pending,,
August,08-11,1,Clare of Assisi,Abbess / Monastic,1253,Anglican-received Roman Catholic,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Broad Anglican reception; Franciscan poverty monastic leadership and contemplative holiness.,none,Pending,,
