month,date,rank,candidate,designation,year_or_period,tradition,source_witnesses,source_tier,preliminary_status,ranking_rationale,review_flags,decision_status,final_primary,notes
July,07-01,1,Pauli Murray,Priest,1985,Anglican,LFF; GCW,Current TEC / TEC secondary,Usable with review,Current TEC/LFF plus priestly Anglican status gives strong source authority.,modern figure; social-impact caution,Pending,,First African American woman priest ordained in TEC; review holiness/prayability framing.
July,07-01,2,Serf,Bishop,,Anglican / Scottish,SEC; AM,Provincial / Anglican martyrology,Usable,Celtic/Scottish episcopal witness; lower source authority than LFF.,date/source verification,Pending,,
July,07-01,3,Harriet Beecher Stowe,Writer,,Anglican-received,HWHM; GCW,TEC secondary,Review,"Important Christian literary witness, but the case may lean toward social/literary impact rather than sanctity.",holiness test; social/literary impact caution,Pending,,
July,07-01,4,John Venn and Henry Venn,Priests / Evangelical Anglican witnesses,,Anglican,AM,Anglican martyrology,Weak / defer,"Anglican evangelical witness, but lower source authority and weaker fit for first-pass primary than Murray.",source verification; holiness fit,Pending,,
July,07-02,1,Moses the Black,Monastic and Martyr,c. 400,Anglican-received Great Church,LFF,Current TEC/LFF,Strong candidate,"Penitence, ascetic conversion, monastic witness, and martyrdom make the strongest hagiographical case.",none,Pending,,
July,07-02,2,Swithin,Bishop of Winchester,,Anglican / English,AM,Anglican martyrology,Usable,English episcopal holiness option; lower source authority than Moses.,date/source verification,Pending,,
July,07-02,3,"Walter Rauschenbusch, Washington Gladden, and Jacob Riis",Social Gospel witnesses,,Anglican-received,HWHM; GCW,TEC secondary,Review,Useful Christian social witness but directly triggers social-impact-is-evidentiary caution.,social-impact caution; group entry,Pending,,
July,07-02,4,Otto of Bamberg,Bishop and Missionary,,Greater Church / Western,AM,Anglican martyrology / Great Church,Weak / defer,"Good missionary bishop option, but weaker source priority and less compelling than Moses.",source verification,Pending,,
July,07-03,1,Thomas the Apostle,Apostle,,Apostolic / Anglican-received,FAS; SEC; AM,Provincial / Anglican martyrology,Provisional strong candidate,"Strong apostolic candidate for July 3 in provincial sources, but conflicts with BCP December 21 placement.",apostle-date harmonization,Pending,,Hold until whole-year apostolic cycle is visible.
July,07-04,1,Independence Day,Civic observance,,Anglican / BCP observance,BCP; LFF; HWHM,BCP / Current TEC,Review,"Prayer Book authority is strong, but the observance is civic rather than sanctoral.",genre review,Pending,,Determine whether civic BCP observances belong in Synaxarium primary slots.
July,07-04,2,Elizabeth of Portugal,Queen / Peacemaker,,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Genuine holiness candidate if civic observance is judged unsuitable for primary slot.,Great Church supplement,Pending,,
July,07-04,3,Peblig,Welsh saint,,Anglican / Welsh,AM,Anglican martyrology,Weak / defer,Possible British Isles supplement but thin evidence in current source set.,source verification,Pending,,
July,07-05,1,Palladius,Bishop,c. 450,Anglican-proximate / British Isles,AM; SEC-adjacent,Anglican martyrology / Provincial-adjacent,Usable,Early mission-to-Ireland/Scotland relevance; best Anglican-proximate candidate on a thin day.,source verification,Pending,,
July,07-05,2,Athanasius of Jerusalem,Bishop / martyr?,,Greater Church / Eastern,Great Church reference candidate,Great Church supplement,Weak / defer,"Possible Great Five supplement if Anglican witness remains thin, but needs verification.",source verification; Great Five supplement,Pending,,
July,07-06,1,Eva Lee Matthews,Monastic,1928,Anglican,LFF,Current TEC/LFF,Strong candidate,Current LFF authority and clear monastic holiness fit.,modern review,Pending,,
July,07-06,2,Moninne of Killeavy,Abbess,,Anglican / Irish,AM,Anglican martyrology,Usable,Strong Irish monastic alternative; lower source authority than current LFF.,source verification,Pending,,
July,07-06,3,John Hus,Reformer and Martyr,,Anglican-received Protestant,HWHM; GCW; AM,TEC secondary / Anglican martyrology,Review,"Serious Christian witness, but triggers Protestant-reformer rule and Reformation-context review.",Protestant-reformer caution,Pending,,
July,07-06,4,Thomas More,Martyr / Scholar,,Roman Catholic / Anglican-contested,FAS,Provincial Anglican,Review,Serious holiness figure but complicated in Anglican context because of Reformation conflict and Roman Catholic martyrdom.,Anglican-context review,Pending,,
July,07-07,1,Boisil,Prior of Melrose,c. 642,Anglican / Scottish,SEC,Provincial Anglican,Strong candidate,Scottish monastic and formative witness; best Anglican-family candidate.,source verification,Pending,,
July,07-07,2,Pantaenus of Alexandria,Teacher / Catechist,,Greater Church / Alexandrian,AM,Anglican martyrology / Great Church,Usable,Attractive Alexandrian catechetical holiness but more naturally Great Church supplementation.,Great Five supplement,Pending,,
July,07-07,3,Benedict XI,Pope,,Roman Catholic,AM,Anglican martyrology / Great Church,Weak / defer,Recognized Great Church candidate but weaker fit for Anglican-centered first pass than Boisil.,source verification,Pending,,
July,07-08,1,Priscilla and Aquila,Coworkers of the Apostle Paul,,Apostolic / Anglican-received,LFF; AM,Current TEC/LFF,Strong candidate,"Biblical, apostolic, lay/house-church witness with current LFF support.",none,Pending,,
July,07-08,2,Disibod,Bishop and Missionary,,Anglican / British Isles / Continental,AM,Anglican martyrology,Usable,"Good missionary alternative, but lower source priority than Priscilla and Aquila.",source verification,Pending,,
July,07-08,3,Kilian,Bishop and Missionary,,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,"Good missionary alternative, but lower source priority than Priscilla and Aquila.",source verification,Pending,,
July,07-09,1,Augustine Zhao Rong and the Martyrs of China,Martyrs,,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Thin Anglican day; Chinese martyrs provide strong martyrial Great Church option.,Greater Church remembers; source verification,Pending,,
July,07-10,1,Anthony and Theodosius of the Kyiv Caves,Monastics,,Eastern Orthodox / Greater Church,AM,Anglican martyrology / Great Church,Usable,Thin Anglican day; strong Eastern monastic formation and holiness witness.,Greater Church remembers; source verification,Pending,,
July,07-10,2,Amalburga,Monastic?,,Greater Church / Western,AM,Anglican martyrology / Great Church,Weak / defer,"Possible Great Church candidate but weaker than Kyiv Caves monastic founders.",source verification,Pending,,
July,07-11,1,Benedict of Nursia,Monastic,c. 543,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,"Overwhelming broad Anglican and Great Church reception; monastic fatherhood and durable spiritual authority.",none,Pending,,
July,07-11,2,Pius I,Bishop of Rome,,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Weak / defer,Valid Great Church option but decisively outranked by Benedict.,source verification,Pending,,
July,07-11,3,Placidus and Sigisbert,Monastics?,,Greater Church / Western,AM,Anglican martyrology / Great Church,Weak / defer,Monastic association but decisively outranked by Benedict.,source verification,Pending,,
July,07-12,1,Drostan of Deer,Abbot,c. 600,Anglican / Scottish,SEC,Provincial Anglican,Strong candidate,Anglican provincial witness and Celtic monastic fit.,source verification,Pending,,
July,07-12,2,Nathan Söderblom,Archbishop / Ecumenist,,Anglican-received,HWHM; GCW,TEC secondary,Review,Important ecumenical figure but less clearly sanctoral under the project rules.,ecumenical significance vs holiness,Pending,,
July,07-12,3,John Gualbert,Monastic reformer,,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Solid Benedictine reform/monastic option if Great Church supplementation is preferred.,Greater Church supplement,Pending,,
July,07-12,4,Veronica,Holy woman / legendary witness,,Greater Church / Western,AM,Anglican martyrology / Great Church,Review,Devotionally significant but requires historical/legendary handling.,legendary material review,Pending,,
July,07-13,1,Henry,Missionary Bishop in Finland,1156,Anglican-received / Western,FAS,Provincial Anglican,Strong candidate,Bishop/missionary in official Anglican provincial source.,source verification,Pending,,
July,07-13,2,Conrad Weiser,Witness / mediator,,Anglican-received,HWHM; GCW,TEC secondary,Review,"Peace-and-reconciliation witness, but requires explicit holiness review.",social-impact caution; holiness test,Pending,,
