month,date,rank,candidate,designation,year_or_period,tradition,source_witnesses,source_tier,preliminary_status,ranking_rationale,review_flags,decision_status,final_primary,notes
October,10-01,1,Thérèse of Lisieux,Monastic,1897,Anglican-received Roman Catholic,LFF; Oxford Dictionary of Saints,Current TEC/LFF / Great Church reference,Strong candidate,Current LFF authority and strong contemplative holiness through the little way of love and self-offering.,Greater Church remembers; modern cultus/hagiographic sentimentality handling,Pending,,
October,10-01,2,Remigius of Rheims,Bishop,c. 530,Anglican-received Great Church,BCP; HWHM; GCW; AM; Oxford Dictionary of Saints,BCP / TEC secondary / Anglican martyrology,Strong alternate,Prayer Book and TEC secondary witness; episcopal missionary and conversion-of-the-Franks significance with real holiness claim.,date harmonization with October 2 LFF; ruler-conversion historical complexity,Pending,,BCP/HWHM/GCW retain Oct 1 while LFF 2024 moved Remigius to Oct 2.
October,10-01,3,Gregory the Enlightener,Bishop and Apostle of Armenia,c. 332,Oriental Orthodox / Armenian / Greater Church,SEC witness requiring fixed-date verification; AM date variant,Provincial Anglican witness requiring fixed-date verification / Anglican martyrology / Great Church,Strong alternate,Major Armenian apostolic and episcopal witness; useful Great Five candidate but date harmonization is needed.,date harmonization with March 23 and September 30; Armenian source verification; Greater Church remembers,Pending,,Crosswise QC revised source label so SEC 2026 evidence is not overstated as fixed-date evidence.
October,10-01,4,Bavo,Penitent and monastic,654,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Penitential lay-to-monastic witness; lower source authority than Thérèse and Remigius.,Greater Church remembers; source verification,Pending,,
October,10-02,1,Remigius of Rheims,Bishop,c. 530,Anglican-received Great Church,LFF; BCP on Oct 1; HWHM/GCW on Oct 1; AM/Oxford date variants,Current TEC/LFF / BCP date variant,Strong candidate,Current LFF authority for Oct 2; episcopal holiness and catechetical/missionary role in Frankish conversion.,date harmonization with October 1; ruler-conversion historical complexity,Pending,,
October,10-02,2,The Holy Guardian Angels,Angelic feast,,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Review,Devotional feast with broad Western reception but not a human saint; should be reviewed under feast/genre rules.,feast/genre review; Greater Church remembers,Pending,,
October,10-02,3,Leodegar of Autun,Bishop and Martyr,679,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Monastic reforming bishop and martyrial witness amid political violence.,Greater Church remembers; political-violence context,Pending,,
October,10-02,4,Thomas Cantilupe of Hereford,Bishop,1282,Anglican / English,Oxford Dictionary of Saints; AM date variant,Great Church / English calendar witness,Review,English episcopal holiness candidate but appears more clearly in AM on Oct 3; hold for date harmonization.,date harmonization with October 3; source verification,Pending,,
October,10-03,1,John Raleigh Mott,Ecumenist and Missionary,1955,Anglican-received / Methodist-Lay ecumenist,LFF; HWHM; GCW,Current TEC/LFF / TEC secondary,Strong candidate with review,Current LFF authority and missionary/ecumenical witness; must be framed as evangelistic discipleship rather than organizational significance.,modern review; ecumenical-institutional significance caution,Pending,,
October,10-03,2,George Kennedy Allen Bell,Bishop of Chichester and Ecumenist,1958,Anglican,HWHM; AM,TEC secondary / Anglican martyrology,Strong alternate,Anglican bishop on an Anglican calendar with strong peace/ecumenical/anti-Nazi witness.,Anglican bishop rule; modern controversy/source review,Pending,,
